car_id,location
35,Jack's Magical Beans
35,GAStect
35,Frydos Autosupply n' More
35,Guy's Gyros
35,Gelatogalore
35,Octavio's Office Supplies
35,Hippokampos
35,Abila Zacharo
35,Cup o'Joe
35,carly's coffee
35,kronos capitol
35,Desafio Golf Course
35,General Grocer
35,U-Pump
35,Kalami Kafenion
35,Hallowed Grounds
4,Brewed Awakenings
4,Jack's Magical Beans
4,GAStect
4,carly's coffee
4,Abila Zacharo
4,Hippokampos
4,Cup o'Joe
4,Ouzeri Elian
4,Kronos Mart
4,Katerina's Cafe
4,Frydos Autosupply n' More
4,Hallowed Grounds
4,Desafio Golf Course
4,General Grocer
4,Albert's Fine Clothing
4,Guy's Gyros
4,Roberts and Sons
19,Bean There Done That
19,Jack's Magical Beans
19,Cup o'Joe
19,GAStect
19,Ouzeri Elian
19,Hippokampos
19,Albert's Fine Clothing
19,Katerina's Cafe
19,carly's coffee
19,Kalami Kafenion
19,Octavio's Office Supplies
19,Chostus Hotel
19,Abila Zacharo
19,General Grocer
19,Gelatogalore
10,Brewed Awakenings
10,Jack's Magical Beans
10,Cup o'Joe
10,GAStect
10,Katerina's Cafe
10,Hippokampos
10,carly's coffee
10,Gelatogalore
10,Ouzeri Elian
10,Albert's Fine Clothing
10,Desafio Golf Course
10,Octavio's Office Supplies
10,Kalami Kafenion
10,General Grocer
10,Shoppers' Delight
10,Abila Zacharo
10,Kronos Mart
7,Brewed Awakenings
7,Jack's Magical Beans
7,Cup o'Joe
7,GAStect
7,Ouzeri Elian
7,Guy's Gyros
7,Hippokampos
7,Chostus Hotel
7,Gelatogalore
7,Abila Zacharo
7,Katerina's Cafe
7,Hallowed Grounds
7,Albert's Fine Clothing
7,Kalami Kafenion
7,Frydos Autosupply n' More
7,Roberts and Sons
11,Bean There Done That
11,Jack's Magical Beans
11,Cup o'Joe
11,GAStect
11,Octavio's Office Supplies
11,Kalami Kafenion
11,Hippokampos
11,Ouzeri Elian
11,Hallowed Grounds
11,Frydos Autosupply n' More
11,Guy's Gyros
11,Katerina's Cafe
11,carly's coffee
11,Abila Zacharo
11,Albert's Fine Clothing
32,U-Pump
32,Jack's Magical Beans
32,Cup o'Joe
32,GAStect
32,Hippokampos
32,Guy's Gyros
32,Frydos Autosupply n' More
32,Ouzeri Elian
32,Katerina's Cafe
32,Brew've Been Served
32,Kronos Mart
32,Albert's Fine Clothing
32,Gelatogalore
32,Octavio's Office Supplies
32,carly's coffee
32,Kalami Kafenion
32,Abila Zacharo
32,Shoppers' Delight
32,Desafio Golf Course
34,Guy's Gyros
34,Brew've Been Served
34,GAStect
34,Hippokampos
34,Frydos Autosupply n' More
34,Octavio's Office Supplies
34,Kalami Kafenion
34,General Grocer
34,carly's coffee
34,Gelatogalore
34,Chostus Hotel
34,Ahaggo Museum
34,Ouzeri Elian
34,Katerina's Cafe
34,Abila Zacharo
34,kronos capitol
17,Katerina's Cafe
17,Brew've Been Served
17,GAStect
17,Guy's Gyros
17,Coffee Cameleon
17,carly's coffee
17,Octavio's Office Supplies
17,Kalami Kafenion
17,Frydos Autosupply n' More
17,Shoppers' Delight
17,Hippokampos
17,Gelatogalore
17,Abila Zacharo
17,Ahaggo Museum
17,Chostus Hotel
17,Ouzeri Elian
12,Hallowed Grounds
12,Carlyle Chemical Inc.
12,Abila Hospital
12,Cup o'Joe
12,GAStect
12,Octavio's Office Supplies
12,Abila Zacharo
12,Guy's Gyros
12,carly's coffee
12,Kalami Kafenion
12,Katerina's Cafe
12,General Grocer
12,Ouzeri Elian
12,Chostus Hotel
12,Brew've Been Served
12,Kronos Mart
12,Coffee Cameleon
18,Hallowed Grounds
18,Carlyle Chemical Inc.
18,Abila Hospital
18,GAStect
18,Katerina's Cafe
18,Guy's Gyros
18,Frydos Autosupply n' More
18,Cup o'Joe
18,Abila Zacharo
18,Roberts and Sons
18,carly's coffee
18,Ouzeri Elian
18,Chostus Hotel
18,Ahaggo Museum
18,Gelatogalore
18,Shoppers' Delight
18,Nationwide Refinery
18,Bean There Done That
18,Jack's Magical Beans
18,Hippokampos
18,General Grocer
20,Guy's Gyros
20,Frydos Autosupply n' More
20,Brew've Been Served
20,GAStect
20,Ouzeri Elian
20,Kalami Kafenion
20,Kronos Mart
20,Chostus Hotel
20,carly's coffee
20,Abila Zacharo
20,Roberts and Sons
20,Octavio's Office Supplies
20,Hippokampos
20,Coffee Cameleon
20,Cup o'Joe
16,Guy's Gyros
16,Frydos Autosupply n' More
16,Brew've Been Served
16,GAStect
16,Roberts and Sons
16,Abila Zacharo
16,Octavio's Office Supplies
16,carly's coffee
16,Coffee Cameleon
16,Shoppers' Delight
16,Brewed Awakenings
16,Jack's Magical Beans
16,Cup o'Joe
16,Kalami Kafenion
16,Katerina's Cafe
16,Ahaggo Museum
16,Chostus Hotel
16,Hippokampos
6,Coffee Cameleon
6,GAStect
6,carly's coffee
6,Octavio's Office Supplies
6,Gelatogalore
6,Katerina's Cafe
6,Cup o'Joe
6,Hippokampos
6,Guy's Gyros
6,Frydos Autosupply n' More
6,Hallowed Grounds
6,Abila Zacharo
6,Ouzeri Elian
6,Roberts and Sons
3,Bean There Done That
3,Jack's Magical Beans
3,Cup o'Joe
3,GAStect
3,Guy's Gyros
3,Brew've Been Served
3,Hippokampos
3,Albert's Fine Clothing
3,Frydos Autosupply n' More
3,Roberts and Sons
3,Abila Zacharo
3,General Grocer
3,Kalami Kafenion
3,carly's coffee
