cc_num,loyalty_num,frequency
4795,L8566,25
4795,L2070,1
6816,L8148,20
9617,L5553,26
7384,L3800,26
5368,L2247,24
5368,L6119,1
4948,L9406,22
4948,L3295,1
9683,L7291,18
8129,L8328,21
3492,L7814,22
5921,L3295,12
5921,L9406,1
2142,L9637,25
9551,L5777,12
3484,L2490,24
7819,L5259,27
5407,L4034,20
1874,L4424,25
3853,L1485,22
4434,L2169,26
6901,L9363,28
1286,L3572,13
1286,L3288,15
8411,L6110,27
8202,L2343,25
9220,L4063,9
9735,L9633,16
1415,L7783,24
9635,L3191,24
7688,L4164,22
6899,L6267,23
2540,L5947,20
1877,L3014,18
8332,L2070,27
8332,L8566,1
1321,L4149,22
6895,L3366,21
9241,L3288,13
2463,L6886,23
7253,L1682,24
6691,L6267,20
2681,L1107,20
1310,L8012,21
7889,L6119,20
7889,L2247,1
9405,L3259,21
7117,L6417,28
8642,L2769,12
7354,L9254,21
7108,L6544,16
3506,L7761,6
7792,L5756,20
8156,L5224,22
2418,L9018,20
2276,L3317,10
4530,L8477,10
9152,L5485,2
9614,L5924,2
3547,L9362,14
5010,L2459,5
