cc_num,loyalty_num,frequency
18,7108,7
18,3492,7
14,3492,8
34,6901,8
29,7253,6
29,2418,6
20,9683,6
20,7819,6
26,2681,8
12,6691,8
25,2418,7
24,6901,6
33,7819,10
33,3853,10
17,3484,10
27,6691,8
6,2142,9
21,7819,7
21,8411,7
23,7819,10
23,3853,10
23,1286,10
23,8202,10
1,2681,10
8,1874,8
16,3853,6
16,1286,6
16,8411,6
16,8202,6
16,7819,6
13,8411,5
22,8202,9
30,1286,6
30,8202,6
15,6901,8
101,9220,2
104,8642,2
4,7819,3
5,2681,4
9,4948,1
9,7108,1
9,8332,1
9,9635,1
9,1415,1
11,6895,4
19,8332,3
2,7688,4
105,6895,2
105,7792,2
106,9735,3
32,2540,2
32,9635,2
32,6895,2
32,7354,2
32,7253,2
7,7253,3
107,9735,1
107,4530,1
107,9614,1
35,1415,3
35,1874,3
3,1321,3
10,9635,2
10,5407,2
10,1415,2
10,7688,2
31,7354,2
4795,L8566,25
4795,L2070,1
5368,L2247,24
5368,L6119,1
4948,L9406,22
4948,L3295,1
9683,L7291,18
3492,L7814,22
5921,L3295,12
5921,L9406,1
2142,L9637,25
3484,L2490,24
7819,L5259,27
5407,L4034,20
1874,L4424,25
3853,L1485,22
6901,L9363,28
1286,L3572,13
1286,L3288,15
8411,L6110,27
8202,L2343,25
9220,L4063,9
9735,L9633,16
1415,L7783,24
9635,L3191,24
7688,L4164,22
2540,L5947,20
8332,L2070,27
8332,L8566,1
1321,L4149,22
6895,L3366,21
7253,L1682,24
6691,L6267,20
2681,L1107,20
7889,L6119,20
7889,L2247,1
8642,L2769,12
7354,L9254,21
7108,L6544,16
7792,L5756,20
2418,L9018,20
4530,L8477,10
9614,L5924,2
